20, 126776 1908618 2378443 2426527 2975091 3059297 4119808 5103730 5238097 5511836 5572654 6407152 7024244 7140390 7393807 8447521 8747299 9068174 9687743 9905155 
40, 126776 746681 774317 1715193 1861134 1908618 2378443 2426527 2950798 2975091 3059297 4119808 4199340 4720552 5103730 5183535 5238097 5511836 5558547 5561837 5572654 6407152 7024244 7060640 7140390 7393807 7725704 7914737 7996877 8390651 8447521 8747299 9068174 9088629 9120539 9510668 9687743 9715819 9905155 9999581 
60, 126776 412283 746681 774317 778210 1344723 1715193 1750923 1861134 1908618 2378443 2426527 2453035 2950798 2954183 2975091 3059297 3193398 3923704 4119808 4164506 4199340 4575393 4720552 4754489 5103730 5137423 5183535 5238097 5361583 5511836 5558547 5561837 5572654 6407152 6429932 6627365 7024244 7060640 7140390 7393807 7725704 7914737 7996877 8301952 8390651 8395779 8447521 8747299 8784662 9068174 9088629 9120539 9510668 9687743 9715819 9770996 9905155 9955571 9999581 
80, 126776 412283 746681 774317 778210 1344723 1715193 1750923 1861134 1908618 2012088 2378443 2426527 2453035 2922329 2950798 2951572 2954183 2975091 3059297 3193398 3252923 3576513 3923704 4082785 4092101 4119808 4164506 4199340 4314131 4335120 4575393 4720552 4754489 4968885 5103730 5137423 5141691 5183535 5238097 5361583 5458714 5511836 5558547 5561837 5572654 5717608 6023532 6352555 6407152 6429932 6627365 6860165 7024244 7060640 7103558 7140390 7393807 7678837 7725704 7914737 7924692 7996877 8301952 8390651 8395779 8447521 8747299 8784662 9068174 9088629 9120539 9250542 9510668 9687743 9715819 9770996 9905155 9955571 9999581 
100, 126776 412283 746681 774317 778210 1344723 1715193 1750923 1811732 1845231 1861134 1908618 2012088 2220913 2378443 2426527 2453035 2892448 2922329 2950798 2951572 2954183 2975091 3059297 3177776 3193398 3252923 3576513 3923704 4082785 4092101 4119808 4119947 4164506 4199340 4314131 4335120 4479718 4575393 4720552 4729403 4754489 4968885 4978948 5103730 5137423 5141691 5183535 5238097 5361583 5458714 5511836 5558547 5561837 5572654 5700861 5717608 5917104 6023532 6067392 6352555 6407152 6429932 6627365 6860165 7024244 7060640 7103558 7140390 7326918 7393807 7678837 7725704 7752858 7914737 7924692 7993809 7996877 8015898 8301952 8341936 8390651 8395779 8447521 8747299 8784662 9068174 9088629 9120539 9250542 9510668 9525702 9687743 9715819 9770996 9848523 9905155 9909350 9955571 9999581 
120, 126776 391406 412283 746681 774317 778210 1344723 1413429 1441983 1700730 1715193 1750923 1811732 1845231 1858476 1861134 1908618 2012088 2220913 2378443 2426527 2453035 2892448 2922329 2950798 2951572 2954183 2975091 3059297 3086701 3177776 3193398 3252923 3576513 3589368 3762022 3923704 4082785 4092101 4119808 4119947 4164506 4199340 4314131 4335120 4479718 4575393 4720552 4729403 4754489 4805267 4968885 4978948 5080609 5103730 5118830 5137423 5141691 5183535 5238097 5361583 5458714 5511836 5532261 5558547 5561837 5572654 5700861 5717608 5917104 6023532 6067392 6352555 6407152 6429932 6476887 6627365 6740042 6860165 7024244 7060640 7103558 7140390 7326918 7393807 7678837 7725704 7752858 7914737 7924692 7993809 7996877 8015898 8236776 8301952 8331880 8341936 8390651 8395779 8447521 8541128 8747299 8784662 9068174 9088629 9120539 9250542 9510668 9514158 9525702 9687743 9715819 9749726 9770996 9842734 9848523 9905155 9909350 9955571 9999581 
140, 126776 391406 411397 412283 637162 746681 774317 778210 934633 1344723 1413429 1441983 1700730 1715193 1750923 1811732 1845231 1858476 1861134 1908618 2012088 2168694 2220913 2378443 2426527 2453035 2738237 2892448 2922329 2950798 2951572 2954183 2975091 3059297 3086701 3177776 3193398 3252923 3576513 3589368 3762022 3923704 4034759 4082785 4092101 4119808 4119947 4164506 4199340 4307030 4314131 4335120 4479718 4505799 4575393 4720552 4721459 4729403 4754489 4805267 4968885 4978948 5080609 5103730 5118830 5137423 5141691 5183535 5238097 5341658 5361583 5432992 5458714 5511836 5532261 5558547 5561837 5572654 5700861 5717608 5731478 5744506 5810014 5917104 6023532 6067392 6352555 6395205 6407152 6429932 6476887 6627365 6693927 6740042 6860165 7024244 7060640 7103558 7140390 7164701 7326918 7393807 7678837 7725704 7752858 7914737 7924692 7993809 7996877 8015898 8020676 8236776 8301952 8331880 8341936 8390651 8395779 8447521 8541128 8747299 8784662 9068174 9088629 9103582 9120539 9169301 9250542 9510668 9514158 9525702 9687743 9715819 9749726 9770996 9842734 9848523 9905155 9909350 9955571 9999581 
160, 108797 126776 299762 309640 391406 411397 412283 637162 746681 774317 778210 934633 1344723 1413429 1441983 1700730 1715193 1735193 1750923 1811732 1845231 1858476 1861134 1908618 2012088 2168694 2220913 2283266 2378443 2426527 2453035 2489400 2635232 2738237 2892448 2922329 2950798 2951572 2954183 2975091 3059297 3086701 3177776 3193398 3252923 3576513 3589368 3762022 3923704 4034759 4082785 4083332 4090871 4092101 4119808 4119947 4163950 4164506 4199340 4307030 4314131 4335120 4479718 4505799 4575393 4720552 4721459 4729403 4754489 4805267 4968885 4978948 5080609 5103730 5118830 5137423 5141691 5183535 5238097 5341658 5360365 5361583 5432992 5458714 5511836 5532261 5558547 5561837 5572654 5700861 5717608 5731478 5744506 5810014 5917104 6023532 6067392 6070192 6295070 6352555 6395205 6407152 6429932 6476887 6575177 6627365 6640171 6693927 6740042 6750597 6860165 7024244 7060640 7103558 7140390 7164701 7326918 7393807 7678837 7725704 7752858 7914737 7924692 7969167 7993809 7996877 8015898 8020676 8236776 8301952 8331880 8341936 8390651 8395779 8447521 8450496 8541128 8747299 8784662 9068174 9088629 9103582 9120539 9169301 9250542 9492560 9510668 9514158 9525702 9687743 9715819 9749726 9770996 9809327 9842734 9848523 9905155 9909350 9955571 9999581 
180, 108797 126776 299762 309640 386723 391406 411397 412283 637162 746681 774317 778210 934633 1344723 1413429 1441983 1700730 1715193 1725838 1735193 1750923 1811732 1845231 1858476 1861134 1908618 2012088 2168694 2219467 2220913 2283266 2378443 2381321 2426527 2453035 2489400 2635232 2735887 2738237 2892448 2922329 2944258 2950798 2951572 2954183 2975091 3054757 3059297 3086701 3177776 3193398 3252923 3576513 3589368 3609502 3762022 3923704 3926271 4034759 4082785 4083332 4090871 4092101 4119808 4119947 4163950 4164506 4199340 4307030 4314131 4335120 4398355 4479718 4480124 4505799 4575393 4632702 4720552 4721459 4729403 4754489 4805267 4968885 4978948 5080609 5103730 5118830 5137423 5141691 5183535 5238097 5341658 5360365 5361583 5432992 5458714 5511836 5532261 5558547 5561837 5572654 5700861 5702912 5717608 5731478 5744506 5810014 5917104 6023532 6067392 6070192 6077511 6295070 6352555 6395205 6407152 6429932 6476887 6575177 6627365 6640171 6693927 6740042 6750597 6860165 7024244 7060640 7103558 7140390 7164701 7326918 7351553 7393807 7484404 7652011 7678837 7725704 7751689 7752858 7914737 7924692 7969167 7993809 7996877 8015898 8020676 8236776 8301952 8331880 8341936 8390651 8395779 8447521 8450496 8541128 8548534 8602374 8747299 8784662 9068174 9088629 9103582 9120539 9169301 9250542 9492560 9510668 9514158 9525702 9687743 9715819 9749726 9770996 9809327 9842734 9848523 9905155 9909350 9955571 9999581 
200, 108797 126776 299762 309640 386723 391406 411397 412283 637162 655291 719177 746681 774317 778210 934633 976202 1303636 1344723 1413429 1441983 1700730 1715193 1725838 1735193 1750923 1776861 1811732 1845231 1858476 1861134 1902025 1908618 2012088 2168694 2219467 2220913 2283266 2378443 2381321 2426527 2453035 2489400 2507414 2635232 2735887 2738237 2764537 2892448 2922329 2944258 2950798 2951572 2954183 2975091 3054757 3059297 3086701 3177776 3193398 3252923 3576513 3589368 3609502 3762022 3864008 3923704 3926271 4034759 4082785 4083332 4090871 4092101 4119808 4119947 4163950 4164506 4199340 4307030 4314131 4335120 4398355 4471802 4479718 4480124 4505799 4575393 4632702 4720552 4721459 4729403 4754489 4805267 4968885 4978948 5080609 5103730 5118830 5137423 5141691 5183535 5238097 5341658 5360365 5361583 5432992 5452307 5458714 5511836 5532261 5558547 5561837 5572654 5700861 5702912 5717608 5731478 5744506 5810014 5917104 6023532 6067392 6070192 6077511 6196939 6295070 6352555 6395205 6407152 6429932 6476887 6575177 6627365 6640171 6693927 6740042 6750597 6860165 6900880 7024244 7060640 7078144 7103558 7140390 7164701 7326918 7351553 7393807 7484404 7652011 7664017 7678837 7725704 7751689 7752858 7914737 7924692 7969167 7993809 7996877 8004592 8015898 8020676 8119268 8174568 8236776 8301952 8331880 8341936 8390651 8395779 8447521 8450496 8526316 8541128 8548534 8602374 8747299 8784662 9068174 9088629 9103582 9120539 9169301 9250542 9492560 9510668 9514158 9525702 9552131 9687743 9715819 9749726 9770996 9809327 9842734 9848523 9905155 9909350 9955571 9999581 
