20, 9867400 9435941 8854269 7277929 7112683 6479957 5903195 5833916 5422210 5156837 4836139 4592157 3543882 3125184 2818096 2122929 1508838 1134914 825679 515153 
40, 9867400 9860733 9435941 9398225 9265550 8976955 8854269 7277929 7112683 6479957 5903195 5833916 5422210 5156837 5064281 5060075 4987160 4836139 4592157 3682735 3543882 3537821 3125184 2818096 2391577 2122929 1761764 1654883 1601366 1508838 1161806 1134914 970604 825679 816780 665598 537240 515153 505275 291621 
60, 9979251 9867400 9860733 9854333 9479336 9435941 9398225 9305825 9265550 9123951 8976955 8854269 8767804 7833901 7277929 7112683 6832142 6479957 6071767 5903195 5838484 5833916 5422210 5304319 5156837 5064281 5060075 4987160 4859074 4836139 4592157 4511572 4000863 3682735 3671076 3543882 3537821 3339907 3125184 2818096 2530049 2391577 2247689 2122929 1761764 1654883 1601366 1508838 1245716 1161806 1134914 1133682 970604 825679 816780 665598 537240 515153 505275 291621 
80, 9979251 9867400 9860733 9854333 9736512 9732532 9479336 9435941 9398225 9305825 9265550 9123951 8976955 8914034 8863335 8854269 8767804 8522180 8248098 8193654 8029477 7915258 7833901 7550231 7452029 7277929 7112683 6832142 6479957 6071767 5903195 5838484 5833916 5422210 5304319 5156837 5064281 5060075 4987160 4859074 4836139 4752566 4592157 4511572 4191661 4146157 4000863 3682735 3671076 3543882 3537821 3339907 3125184 2818096 2530049 2391577 2247689 2122929 2062787 1931013 1895337 1761764 1654883 1601366 1508838 1245716 1161806 1140303 1134914 1133682 970604 825679 816780 665598 537240 515153 505275 291621 186214 152202 
100, 9979251 9867400 9860733 9854333 9736512 9732532 9479336 9435941 9398225 9305825 9265550 9123951 9044785 8976955 8914034 8863335 8854269 8767804 8691597 8522180 8432240 8248098 8193654 8029477 7915258 7833901 7550231 7464247 7452029 7277929 7112683 7056857 6832142 6701547 6479957 6115515 6085325 6071767 5903195 5874151 5838484 5833916 5669193 5463562 5430606 5422210 5304319 5156837 5064281 5060075 4987160 4859074 4836139 4752566 4592157 4511572 4474553 4191661 4146157 4000863 3894670 3682735 3671076 3543882 3537821 3339907 3125184 2937976 2818096 2707706 2530049 2391577 2247689 2122929 2062787 1931013 1895337 1761764 1655578 1654883 1601366 1508838 1489349 1245716 1161806 1140303 1134914 1133682 1090981 970604 825679 816780 665598 537240 515153 505275 291621 216933 186214 152202 
120, 9979251 9867400 9860733 9854333 9736512 9732532 9705689 9479336 9456466 9435941 9398225 9305825 9265550 9123951 9044785 8985339 8976955 8914034 8863335 8854269 8767804 8691597 8522180 8432240 8374219 8248098 8193654 8029477 7915258 7833901 7550231 7464247 7452029 7277929 7186661 7112683 7056857 6832142 6701547 6479957 6421761 6115515 6085325 6071767 5903195 5874151 5838484 5833916 5669193 5478029 5463562 5430606 5422210 5304319 5156837 5064281 5060075 4987160 4859074 4836139 4752566 4723751 4592157 4511572 4474553 4403097 4296847 4191661 4155360 4146157 4000863 3894670 3831474 3682735 3671076 3543882 3537821 3526785 3339907 3125184 2937976 2818096 2707706 2610395 2530049 2391577 2344655 2247689 2126734 2122929 2062787 1931013 1895337 1761764 1655578 1654883 1601366 1508838 1489349 1339413 1245716 1193515 1161806 1140303 1134914 1133682 1090981 970604 829797 825679 816780 665598 627298 537240 515153 505275 291621 216933 186214 152202 
140, 9979251 9897056 9867400 9860733 9854333 9736512 9732532 9705689 9479336 9456466 9435941 9398225 9305825 9265550 9123951 9085669 9044785 8985339 8976955 8914034 8863335 8854269 8767804 8691597 8522180 8432240 8374219 8370315 8248098 8201535 8193654 8092914 8029477 7915258 7833901 7589571 7550231 7464247 7452029 7277929 7239055 7186661 7112683 7056857 6832142 6701547 6648595 6497927 6479957 6421761 6115515 6085325 6071767 5903195 5874151 5838484 5833916 5669193 5478029 5463562 5430606 5422210 5304319 5156837 5075232 5064281 5060075 4987160 4859074 4836139 4752566 4723751 4592157 4511572 4474553 4403097 4296847 4191661 4155360 4146157 4000863 3894670 3831474 3729594 3682735 3671076 3543882 3537821 3526785 3339907 3189726 3125184 2937976 2818096 2707706 2610395 2530049 2427546 2391577 2344655 2247689 2126734 2122929 2062787 1931013 1895337 1761764 1655578 1654883 1616902 1601366 1508838 1489349 1339413 1245716 1193515 1161806 1140303 1134914 1133682 1104903 1090981 970604 859306 829797 825679 816780 665598 627298 626580 544864 537240 515153 505275 431530 363949 291621 216933 186214 152202 
160, 9979251 9897056 9867400 9860733 9854333 9736512 9732532 9705689 9688488 9571624 9479336 9456466 9435941 9426343 9398225 9305825 9265550 9123951 9085669 9044785 8985339 8976955 8914034 8863335 8854269 8767804 8691597 8522180 8432240 8374219 8370315 8248098 8201535 8193654 8092914 8029477 7953486 7915258 7833901 7735852 7589571 7550231 7464247 7452029 7297046 7277929 7250589 7239055 7186661 7112683 7056857 6832142 6701547 6648595 6497927 6479957 6421761 6115515 6085325 6071767 5909290 5903195 5874151 5838484 5833916 5669193 5481310 5478029 5463562 5430606 5422210 5326738 5304319 5156837 5075232 5064281 5060075 4987160 4859074 4836139 4752566 4723751 4592157 4511572 4474553 4408989 4403097 4296847 4191661 4155360 4146157 4000863 3894670 3831474 3729594 3682735 3671076 3543882 3537821 3526785 3339907 3339289 3189726 3125184 2937976 2826438 2818096 2777371 2707706 2623889 2610395 2530049 2427546 2391577 2344655 2247689 2126734 2122929 2062787 1931013 1895337 1761764 1655578 1654883 1616902 1601366 1508838 1489349 1339413 1245716 1245216 1193515 1161806 1140303 1134914 1133682 1104903 1090981 970604 965462 859306 829797 825679 816780 665598 627298 626580 546770 544864 537240 526535 515153 505275 431530 386465 363949 291621 216933 186214 152202 
180, 9979251 9897056 9887598 9867400 9860733 9854333 9736512 9732532 9705689 9688488 9626177 9595869 9571624 9479336 9456466 9435941 9426343 9398225 9305825 9265550 9123951 9085669 9063010 9044785 8985339 8981974 8976955 8914034 8863335 8854269 8767804 8691597 8583014 8522180 8432240 8374219 8370315 8248098 8201535 8193654 8092914 8029477 7953486 7915258 7833901 7735852 7589571 7550231 7464247 7452029 7441929 7380408 7297046 7277929 7250589 7239055 7186661 7112683 7056857 7051845 6832142 6701547 6648595 6497927 6479957 6421761 6115515 6085325 6071767 5909290 5903195 5874151 5838484 5833916 5746224 5669193 5481310 5478029 5463562 5430606 5422210 5354133 5326738 5304319 5156837 5075232 5064281 5060075 5052528 4987160 4859074 4836139 4752566 4723751 4592157 4511572 4474553 4408989 4403097 4332174 4296847 4191661 4155360 4146157 4057070 4000863 3894670 3831474 3729594 3682735 3671076 3543882 3537821 3526785 3339907 3339289 3189726 3125184 2937976 2826438 2818096 2777371 2707706 2623889 2610395 2530049 2519511 2427546 2391577 2344655 2247689 2126734 2122929 2062787 2024793 1931013 1895337 1761764 1655578 1654883 1616902 1601366 1508838 1489349 1339413 1245716 1245216 1193515 1161806 1140303 1134914 1133682 1104903 1090981 1044929 1017412 973684 970604 965462 859306 829797 825679 816780 665598 627298 626580 546770 544864 537240 526535 515153 505275 431530 386465 363949 291621 243238 216933 186214 152202 
200, 9979251 9897056 9887598 9867400 9860733 9854333 9736512 9732532 9705689 9688488 9626177 9595869 9571624 9514900 9479336 9456466 9435941 9426343 9398225 9324336 9305825 9265550 9123951 9085669 9063010 9044785 8985339 8981974 8976955 8914034 8863335 8854269 8798910 8767804 8691597 8583014 8522180 8432240 8374219 8370315 8248098 8201535 8193654 8183044 8092914 8029477 7953486 7915258 7893593 7833901 7735852 7589571 7550231 7464247 7452029 7441929 7380408 7297046 7277929 7250589 7239055 7186661 7112683 7056857 7051845 6832142 6701547 6648595 6497927 6479957 6465573 6421761 6115515 6085325 6071767 5909290 5903195 5874151 5838484 5833916 5746224 5669193 5495596 5481310 5478029 5463562 5430606 5422210 5354133 5326738 5304319 5156837 5075232 5064281 5060075 5052528 4987160 4859074 4836139 4752566 4723751 4592157 4511572 4488705 4474553 4452476 4408989 4403097 4332174 4296847 4191661 4189137 4155360 4146157 4057070 4000863 3894670 3831474 3729594 3682735 3671076 3543882 3537821 3526785 3373084 3339907 3339289 3307372 3306794 3283650 3259654 3189726 3125184 3022017 2937976 2826438 2818096 2777371 2707706 2623889 2610395 2589797 2530049 2519511 2427546 2391577 2344655 2247689 2126734 2122929 2062787 2024793 1931013 1895337 1761764 1677312 1655578 1654883 1616902 1601366 1508838 1489349 1339413 1245716 1245216 1193515 1161806 1140303 1134914 1133682 1104903 1090981 1044929 1037148 1017412 973684 970604 965462 916459 859306 829797 825679 816780 665598 627298 626580 546770 544864 537240 526535 515153 505275 431530 386465 363949 291621 243238 216933 186214 152202 
