20, 9200818 9186789 8739299 8484921 6514310 5513919 4838234 4437412 4039086 3254653 3082475 2891713 2479440 2404943 2191919 1993129 1296749 890330 243183 170937 
40, 9994982 9870749 9538726 9200818 9186789 8739299 8614624 8607441 8484921 8383422 7460354 7436516 6995197 6737870 6514310 5823470 5513919 5023223 4838234 4677706 4437412 4189357 4039086 3254653 3216097 3082475 2891713 2839474 2479440 2404943 2191919 2036977 1993129 1532706 1468506 1296749 1154508 890330 243183 170937 
60, 9994982 9870749 9538726 9480043 9454433 9450053 9200818 9188837 9186789 8739299 8614624 8607441 8484921 8383422 7709321 7460354 7436516 6995197 6737870 6514310 6377378 5969270 5883060 5823470 5513919 5062056 5023223 4838234 4677706 4437412 4313074 4279121 4205404 4189357 4075674 4069002 4039086 3959038 3254653 3216097 3082475 3052872 2891713 2839474 2479440 2404943 2348753 2341658 2191919 2036977 1993129 1952645 1666254 1532706 1468506 1296749 1154508 890330 243183 170937 
80, 9994982 9870749 9863328 9630436 9541028 9538726 9480043 9454433 9450053 9228715 9200818 9188837 9186789 9126389 8739299 8635157 8614624 8607441 8484921 8383422 8083393 7709321 7460354 7436516 7296764 7151865 7037638 6995197 6737870 6595328 6514310 6377378 6224409 5969270 5883060 5823470 5513919 5402389 5062056 5023223 4838234 4677706 4437412 4313074 4279121 4205404 4189357 4075674 4069002 4039086 3992892 3959038 3531942 3254653 3216097 3082475 3052872 3001212 2891713 2839474 2728790 2479440 2404943 2363898 2348753 2341658 2191919 2036977 1993129 1952645 1870936 1666254 1532706 1468506 1296749 1154508 890330 305250 243183 170937 
100, 9994982 9870749 9863328 9660622 9630436 9541028 9538726 9480043 9454433 9450053 9228715 9200818 9188837 9186789 9126389 9121962 9113452 9032325 8867152 8739299 8669912 8635157 8614624 8607441 8484921 8459897 8383422 8129842 8083393 7913353 7709321 7622337 7460354 7436516 7347565 7296764 7151865 7037638 6995197 6737870 6595328 6514310 6383963 6377378 6224409 6121069 5969270 5930226 5883060 5823470 5513919 5402389 5062056 5023223 4838234 4677706 4437412 4313074 4279121 4205404 4189357 4075674 4069002 4039086 3992892 3959038 3531942 3320405 3254653 3216097 3082475 3052872 3001212 2891713 2839474 2728790 2479440 2449221 2404943 2363898 2348753 2341658 2191919 2036977 1993129 1952645 1870936 1666254 1627795 1608761 1532706 1499570 1468506 1296749 1154508 890330 557566 305250 243183 170937 
120, 9994982 9870749 9863328 9660622 9630436 9541028 9538726 9480043 9454433 9450053 9228715 9200818 9188837 9186789 9126389 9121962 9113452 9032325 8867152 8739299 8669912 8635157 8627291 8614624 8607441 8484921 8459897 8383422 8252164 8129842 8083393 7913353 7709321 7689668 7622337 7539257 7460354 7436516 7423755 7347565 7296764 7151865 7037638 6995197 6737870 6714382 6606489 6595328 6514310 6466626 6383963 6377378 6224409 6121069 5969270 5930226 5883060 5823470 5713503 5513919 5402389 5062056 5023223 4948504 4838234 4761252 4677706 4636502 4437412 4422551 4374606 4313074 4279121 4205404 4189357 4075674 4069002 4039086 3992892 3959038 3531942 3411090 3320405 3254653 3216097 3082475 3052872 3001212 2965362 2891713 2839474 2728790 2479440 2449221 2404943 2363898 2348753 2341658 2191919 2104097 2080653 2036977 1993129 1952645 1870936 1666254 1627795 1608761 1532706 1499570 1468506 1296749 1154508 890330 557566 318674 305250 243183 170937 126139 
140, 9994982 9975499 9870749 9863328 9660622 9630436 9541028 9538726 9480043 9454433 9450053 9228715 9200818 9188837 9186789 9126389 9121962 9113452 9105866 9032325 8948427 8867152 8739299 8669912 8635157 8627291 8614624 8607441 8485256 8484921 8459897 8427095 8383422 8264857 8252164 8129842 8083393 7914170 7913353 7709321 7704494 7689668 7622337 7539257 7460354 7436516 7423755 7347565 7296764 7151865 7068436 7037638 6995197 6737870 6714382 6606489 6595328 6514310 6466626 6383963 6377378 6224409 6121069 5969270 5930226 5883060 5823470 5713503 5513919 5402389 5092017 5062056 5023223 4948504 4898840 4894388 4838234 4761252 4677706 4636502 4437412 4422551 4374606 4370267 4313074 4279121 4205404 4189357 4075674 4069002 4039086 3992892 3959038 3531942 3411090 3377973 3320405 3254653 3216097 3082475 3052872 3033479 3001212 2969779 2965362 2891713 2839474 2728790 2479440 2449221 2404943 2363898 2360657 2348753 2341658 2191919 2104097 2080653 2036977 1993129 1952645 1870936 1666254 1627795 1608761 1532706 1499570 1497290 1468506 1296749 1154508 1099627 985141 890330 557566 318674 305250 243183 170937 126139 
160, 9994982 9975499 9870749 9863328 9660622 9630436 9602216 9541028 9538726 9480043 9454433 9450053 9228715 9200818 9188837 9186789 9126389 9121962 9113452 9105866 9076771 9032325 8948427 8867152 8741110 8739299 8669912 8635157 8627291 8614624 8607441 8596337 8537925 8485256 8484921 8459897 8427095 8383422 8302633 8264857 8252164 8129842 8083393 7969773 7914170 7913353 7709321 7704494 7689668 7622337 7539257 7460354 7436516 7423755 7347565 7296764 7151865 7070473 7068436 7037638 6995197 6737870 6714382 6606489 6595328 6535150 6514310 6466626 6383963 6377378 6224409 6121069 6042240 5969270 5930226 5883060 5823470 5713503 5513919 5402389 5092017 5062056 5023223 4948504 4898840 4894388 4838234 4761252 4677706 4636502 4517804 4437412 4422551 4374606 4370267 4313074 4279121 4206367 4205404 4189357 4164272 4075674 4069002 4039086 3992892 3959038 3531942 3411090 3377973 3320405 3254653 3216097 3082475 3052872 3033479 3001212 2969779 2965362 2950141 2891713 2839474 2728790 2479440 2459925 2449221 2404943 2363898 2360657 2348753 2341658 2191919 2104097 2080653 2036977 1993129 1952645 1870936 1860299 1666254 1627795 1608761 1532706 1499570 1497290 1468506 1296749 1179986 1154508 1099627 985141 890330 658883 557566 529977 318674 305250 243183 170937 154863 126139 
180, 9994982 9975499 9872853 9870749 9863328 9707616 9660622 9630436 9602216 9541028 9538726 9480043 9472320 9454433 9450053 9228715 9200818 9188837 9186789 9172183 9126389 9121962 9113452 9105866 9076771 9032325 8948427 8867152 8741110 8739299 8669912 8635157 8627291 8614624 8607441 8596337 8537925 8485256 8484921 8459897 8427095 8383422 8302633 8264857 8252164 8174974 8129842 8083393 7969773 7914170 7913353 7744818 7709321 7704494 7689668 7622337 7562678 7539257 7460354 7436516 7423755 7347565 7296764 7151865 7070473 7068436 7037638 7014710 6995197 6737870 6714382 6606489 6595328 6535150 6514310 6466626 6383963 6377378 6224409 6183305 6121069 6042240 5969270 5930226 5883060 5845143 5823470 5713503 5533177 5513919 5474663 5406942 5402389 5092017 5062056 5023223 4971998 4948504 4898840 4894388 4838234 4761252 4677706 4636502 4557503 4517804 4437412 4422551 4374606 4370267 4313074 4279121 4206367 4205404 4189357 4164272 4075674 4069002 4039086 3992892 3959038 3531942 3411090 3377973 3320405 3254653 3216097 3208432 3082475 3052872 3033479 3001212 2969779 2965362 2950141 2891713 2839474 2728790 2479440 2459925 2449221 2404943 2363898 2360657 2348753 2341658 2264373 2191919 2104097 2080653 2036977 1993129 1952645 1870936 1860299 1697827 1666254 1627795 1608761 1532706 1499570 1497290 1468506 1296749 1179986 1160200 1154508 1099627 985141 890330 658883 599522 557566 529977 318674 305250 243183 170937 154863 126139 
200, 9994982 9975499 9872853 9870749 9863328 9707616 9660622 9630436 9602216 9541028 9538726 9480043 9472320 9454433 9454153 9450053 9346186 9228715 9200818 9188837 9186789 9172183 9126389 9121962 9113452 9105866 9076771 9032325 9024822 9019727 8948427 8867152 8786240 8741110 8739299 8669912 8635157 8627291 8614624 8607441 8596337 8537925 8505132 8485256 8484921 8459897 8427095 8383422 8352976 8302633 8264857 8252164 8174974 8129842 8083393 7969773 7914170 7913353 7744818 7709321 7704494 7689668 7645936 7622337 7562678 7539257 7511491 7460354 7436516 7423755 7347565 7296764 7151865 7070473 7068436 7037638 7014710 6995197 6886264 6781092 6737870 6714382 6606489 6595328 6535150 6527572 6514310 6466626 6383963 6377378 6224409 6183305 6121069 6042240 5969270 5930226 5883060 5845143 5823470 5713503 5533177 5513919 5474663 5463739 5406942 5402389 5092017 5062056 5023223 4971998 4948504 4898840 4894388 4838234 4769130 4761252 4697138 4677706 4636502 4557503 4517804 4437412 4422551 4419094 4374606 4370267 4313074 4279121 4206367 4205404 4189357 4164272 4075674 4069002 4039086 3992892 3959038 3531942 3505420 3411090 3377973 3320405 3254653 3216097 3208432 3082475 3052872 3033479 3001212 2969779 2965362 2950141 2891713 2839474 2728790 2479440 2459925 2449221 2404943 2363898 2360657 2348753 2341658 2322302 2264373 2191919 2104097 2080653 2036977 1993129 1952645 1870936 1860299 1697827 1679732 1666254 1627795 1608761 1532706 1499570 1497290 1468506 1296749 1179986 1160200 1154508 1099627 985141 890330 849955 658883 599522 557566 529977 318674 305250 243183 170937 154863 126139 
