20, 163999 1940747 1990376 2017158 2316888 2341561 2840326 3030309 3566813 3705214 4988242 5455648 5901435 6225973 6263436 6367272 7759080 9157460 9254257 9786948 
40, 12151 163999 336268 627390 796545 930047 1410089 1438025 1940747 1990376 2017158 2316888 2341561 2840326 3030309 3566813 3705214 4988242 5363226 5455648 5901435 5978896 6103225 6140317 6225973 6263436 6367272 7535787 7648901 7759080 8284586 8643822 8784737 9087926 9111963 9157460 9231101 9254257 9786948 9933640 
60, 12151 163999 336268 361622 393415 576430 627390 681039 796545 930047 987372 993280 1410089 1438025 1817126 1940747 1990376 2017158 2316888 2341561 2460155 2543038 2840326 3030309 3333340 3566813 3705214 3925844 4142430 4370370 4526898 4988242 5359847 5363226 5455648 5872407 5901435 5978896 6103225 6140317 6225973 6263436 6367272 6396084 6521266 6521575 7535787 7648901 7759080 8284586 8643822 8737481 8784737 9087926 9111963 9157460 9231101 9254257 9786948 9933640 
80, 12151 163999 336268 361622 393415 514005 576430 621240 627390 681039 722997 796545 930047 987372 993280 1410089 1438025 1675154 1745113 1817126 1940747 1990376 2017158 2316888 2341561 2397093 2460155 2497415 2543038 2840326 3030309 3333340 3566813 3705214 3925844 4090301 4142430 4370370 4405958 4526898 4805800 4988242 5287771 5359847 5363226 5455648 5715379 5742289 5872407 5901435 5978896 6103225 6139699 6140317 6190319 6225973 6263436 6367272 6396084 6521266 6521575 6823781 7423204 7535787 7648901 7759080 8226019 8284586 8643822 8737481 8784737 9087926 9111963 9157460 9231101 9254257 9499304 9786948 9880669 9933640 
100, 12151 163999 336268 361622 393415 514005 576430 621240 627390 681039 722997 796545 912057 930047 987372 987645 993280 1410089 1438025 1675154 1745113 1817126 1940747 1990376 2017158 2316888 2341561 2392033 2397093 2460155 2481159 2497415 2543038 2840326 2951415 3030309 3256871 3333340 3566813 3705214 3750396 3925844 4090301 4142430 4370370 4405958 4526898 4750609 4805800 4879108 4945364 4988242 5287771 5359847 5363226 5455648 5715379 5742289 5872407 5901435 5950852 5978896 6103225 6139699 6140317 6190319 6225973 6263436 6325759 6367272 6396084 6521266 6521575 6823781 6903389 7137951 7238381 7423204 7535787 7648901 7759080 8055895 8226019 8284586 8643822 8737481 8784737 9087926 9111963 9157460 9178089 9231101 9254257 9477281 9499304 9745225 9786948 9819453 9880669 9933640 
120, 12151 139960 163999 336268 361622 393415 514005 576430 621240 627390 681039 722997 796545 887834 912057 930047 987372 987645 993280 1113392 1246156 1410089 1438025 1675154 1745113 1817126 1899569 1940747 1990376 2017158 2246067 2316888 2341561 2392033 2397093 2460155 2481159 2497415 2543038 2796950 2840326 2927110 2931593 2951415 3030309 3256871 3333340 3566813 3705214 3750396 3925844 4090301 4142430 4370370 4405958 4526898 4750609 4805800 4879108 4945364 4970155 4988242 5032594 5097269 5287771 5359847 5363226 5421225 5455648 5511784 5715379 5742289 5872407 5901435 5950852 5969248 5978896 6103225 6139699 6140317 6190319 6225973 6263436 6325759 6367272 6396084 6488068 6521266 6521575 6823781 6903389 7137951 7238381 7423204 7535787 7648901 7754314 7759080 8055895 8226019 8284586 8493905 8591366 8643822 8697767 8737481 8784737 9087926 9111963 9157460 9178089 9231101 9254257 9477281 9499304 9745225 9786948 9819453 9880669 9933640 
140, 12151 139960 163999 336268 361622 393415 514005 576430 621240 627390 681039 722997 773871 796545 873764 887834 912057 930047 987372 987645 993280 1113392 1246156 1272219 1410089 1438025 1675154 1745113 1817126 1879139 1887942 1899569 1940747 1990376 2017158 2246067 2254791 2316888 2341561 2392033 2397093 2460155 2481159 2497415 2543038 2796950 2811425 2840326 2927110 2931593 2951415 3019001 3030309 3256871 3333340 3566813 3705214 3750396 3793354 3925844 4090301 4142430 4304229 4370370 4405958 4526898 4750609 4805800 4879108 4945364 4970155 4988242 5032594 5097269 5287771 5359847 5363226 5421225 5455648 5511784 5673097 5715379 5742289 5823690 5872407 5890439 5901435 5950852 5969248 5978896 6103225 6139699 6140317 6190319 6225973 6263436 6325759 6367272 6396084 6488068 6521266 6521575 6823781 6903389 7137951 7183958 7238381 7423204 7454722 7535787 7648901 7754314 7759080 8055895 8226019 8284586 8336305 8493905 8544124 8591366 8643822 8697767 8737481 8784737 9050338 9087926 9111963 9152525 9157460 9178089 9231101 9254257 9477281 9499304 9745225 9786948 9819453 9857243 9880669 9933640 
160, 12151 102660 139960 163999 336268 361622 393415 449141 514005 550706 576430 621240 627390 681039 722997 773871 796545 873764 887834 912057 930047 980012 987372 987645 993280 1113392 1246156 1272219 1410089 1438025 1488526 1675154 1745113 1796487 1817126 1825654 1879139 1887942 1899569 1940747 1990376 2017158 2246067 2254791 2316888 2341561 2392033 2397093 2460155 2481159 2497415 2543038 2796950 2811425 2840326 2927110 2931593 2951415 3019001 3030309 3256871 3333340 3566813 3705214 3750396 3793354 3925844 4090301 4142430 4304229 4370370 4405958 4526898 4548681 4750609 4805800 4879108 4945364 4970155 4988242 5032594 5097269 5223290 5287771 5294723 5359847 5363226 5421225 5455648 5511784 5560892 5673097 5715379 5742289 5823690 5872407 5890439 5901435 5950852 5969248 5978896 6103225 6139699 6140317 6190319 6225973 6263436 6325759 6367272 6396084 6488068 6521266 6521575 6694956 6787752 6823781 6903389 7071749 7137951 7183958 7238381 7423204 7454722 7535787 7648901 7663278 7754314 7759080 7882764 8055895 8166380 8226019 8284586 8336305 8493905 8544124 8591366 8643822 8697767 8737481 8784737 8889910 9041063 9050338 9087926 9107779 9111963 9152525 9157460 9178089 9231101 9254257 9477281 9499304 9745225 9786948 9819453 9857243 9880669 9933640 
180, 12151 48310 102660 139960 163999 187007 336268 361622 393415 449141 514005 550706 576430 584897 621240 627390 681039 722997 773871 796545 873764 887834 912057 930047 980012 987372 987645 993280 1017279 1113392 1246156 1272219 1319435 1410089 1438025 1488526 1511107 1648920 1675154 1745113 1796487 1817126 1825654 1879139 1887942 1899569 1940747 1990376 2017158 2246067 2254791 2316888 2341561 2392033 2397093 2460155 2481159 2497415 2543038 2796950 2811425 2840326 2927110 2931593 2951415 3019001 3030309 3213526 3256871 3328650 3333340 3566813 3705214 3750396 3793354 3925844 4062950 4090301 4109403 4142430 4304229 4370370 4405958 4526898 4541397 4548681 4750609 4801637 4805800 4879108 4945364 4970155 4988242 5032594 5097269 5223290 5287771 5294723 5359847 5363226 5421225 5455648 5511784 5560892 5661742 5673097 5715379 5742289 5823690 5872407 5890439 5901435 5950852 5969248 5978896 6103225 6139699 6140317 6190319 6225973 6263436 6325759 6367272 6396084 6488068 6511340 6521266 6521575 6694956 6787752 6823781 6903389 7071749 7137951 7183958 7238381 7423204 7454722 7535787 7648901 7663278 7754314 7759080 7882764 8055895 8166380 8226019 8284586 8336305 8493905 8544124 8591366 8643822 8697767 8735240 8737481 8784737 8889910 8914399 8992748 8998963 9041063 9050338 9087926 9107779 9111963 9152525 9157460 9178089 9231101 9254257 9477281 9499304 9745225 9786948 9818245 9819453 9857243 9880669 9933640 
200, 12151 48310 102660 139960 163999 187007 200328 336268 361622 393415 449141 514005 550706 576430 584897 621240 627390 681039 722997 773871 796545 873764 887834 912057 930047 980012 987372 987645 993280 1017279 1084396 1113392 1246156 1272219 1278618 1319435 1410089 1438025 1488526 1511107 1648920 1675154 1678213 1745113 1796487 1817126 1825654 1879139 1887942 1899569 1940747 1990376 2017158 2046204 2246067 2254791 2316888 2341561 2392033 2397093 2460155 2481159 2497415 2498271 2543038 2796950 2811425 2840326 2927110 2931593 2951415 3019001 3030309 3213526 3256871 3328650 3333340 3566813 3705214 3750396 3793354 3925844 4062950 4090301 4109403 4142430 4185600 4304229 4370370 4405958 4526898 4541397 4548681 4700035 4750609 4801637 4805800 4879108 4945364 4970155 4988242 5032594 5097269 5223290 5287771 5294723 5359847 5363135 5363226 5421225 5455648 5511784 5518352 5560892 5561319 5661742 5673097 5715379 5742289 5746149 5823690 5872407 5890439 5901435 5950852 5969248 5978896 6103225 6139699 6140317 6190319 6225973 6263436 6275360 6325759 6367272 6396084 6488068 6511340 6521266 6521575 6694956 6787752 6823781 6903389 7071749 7137951 7183958 7238381 7414561 7423204 7454722 7535787 7648901 7663278 7754314 7759080 7882764 7931225 8016240 8055895 8166380 8226019 8284586 8336305 8493905 8544124 8591366 8634567 8643822 8697767 8735240 8737481 8784737 8889910 8914399 8992748 8998963 9041063 9050338 9087926 9091039 9107779 9111963 9152525 9157460 9178089 9231101 9254257 9409818 9477281 9499304 9627049 9745225 9786948 9818245 9819453 9857243 9880669 9933640 
