20, 348939 844553 1504569 2584285 3672620 4294094 4616473 4869617 4931655 5480534 5580821 5738752 5761944 6640972 6765782 6901670 7506744 8084486 8147081 9976958 
40, 31605 236963 241960 348939 352489 844553 866857 1070386 1504569 2172862 2584285 3153660 3354413 3672620 3887204 4294094 4514164 4616473 4869617 4931655 5208214 5480534 5580821 5738752 5761944 6000040 6640972 6711534 6765782 6901670 7506744 7542616 7611440 8084486 8147081 9182913 9609781 9753494 9917570 9976958 
60, 31605 236963 241960 348939 352489 417927 754214 844553 866857 1070386 1504569 1985014 2109094 2172862 2258404 2584285 2804505 3153660 3225731 3354413 3672620 3699686 3887204 4092592 4294094 4514164 4616473 4869617 4931655 5143504 5208214 5219615 5313894 5480534 5580821 5594225 5738752 5761944 6000040 6521881 6640972 6711534 6765782 6901670 7177464 7506744 7542616 7611440 7846407 8084486 8147081 8231575 9120662 9182913 9361216 9367096 9609781 9753494 9917570 9976958 
80, 31605 236963 241960 348939 352489 417927 441955 754214 844553 866857 1070386 1504569 1628393 1985014 2109094 2172862 2258404 2495020 2584285 2684946 2804505 3153660 3225731 3354413 3672620 3699686 3807201 3887204 3931826 4079348 4092592 4294094 4514164 4610720 4616473 4869617 4931655 5143504 5175926 5208214 5219615 5313894 5327737 5480534 5580821 5585558 5594225 5673179 5738752 5761944 5817979 6000040 6068073 6521881 6640972 6711534 6765782 6901670 7133943 7177464 7440724 7506744 7542616 7611440 7846407 8084486 8147081 8172654 8231575 8655749 8855340 8919105 9120662 9182913 9361216 9367096 9609781 9753494 9917570 9976958 
100, 31605 236963 241960 348939 352489 417927 441955 754214 844553 866857 866870 1070386 1437840 1504569 1628393 1726624 1985014 2109094 2172862 2258404 2495020 2584285 2684946 2804505 3153660 3225731 3354413 3466171 3548223 3605169 3672620 3699686 3807201 3824106 3887204 3931826 4079348 4092592 4294094 4431580 4514164 4610720 4616473 4711093 4841960 4869617 4931655 5143504 5175926 5208214 5219615 5313894 5327737 5480534 5580821 5585558 5594225 5673179 5738752 5761944 5817979 5824295 6000040 6068073 6521881 6640972 6711534 6765782 6854800 6876442 6901670 7133943 7177464 7437675 7440724 7506744 7542616 7611440 7846407 8084486 8147081 8172654 8231575 8252310 8524910 8655749 8855340 8919105 9120662 9125195 9182913 9224135 9361216 9367096 9609781 9753494 9759025 9917570 9932935 9976958 
120, 31605 147034 147676 236963 241960 348939 352489 403903 417927 441955 444786 754214 844553 866857 866870 1070386 1437840 1504569 1628393 1726624 1985014 2109094 2172862 2258404 2328697 2495020 2584285 2684946 2804505 3148845 3153660 3225731 3354413 3466171 3468329 3548223 3605169 3630622 3672620 3699686 3807201 3824106 3887204 3907574 3931826 3955989 4079348 4092592 4169415 4294094 4431580 4514164 4533427 4610720 4616473 4632454 4711093 4841960 4869617 4931655 5143504 5175926 5208214 5219615 5313894 5327737 5480534 5580821 5585558 5594225 5673179 5738752 5761944 5817979 5824295 6000040 6068073 6406540 6497401 6521881 6640972 6711534 6765782 6854800 6876442 6901670 7133943 7177464 7437675 7440724 7506744 7542616 7611440 7846407 8084486 8147081 8172654 8231575 8252310 8347606 8389169 8425879 8524910 8632528 8655749 8855340 8919105 9120662 9125195 9182913 9224135 9361216 9367096 9425943 9609781 9753494 9759025 9917570 9932935 9976958 
140, 88049 175145 258813 374038 396317 578054 855470 876884 883409 884014 920916 936003 1010600 1059879 1087687 1128742 1150750 1325369 1420136 1421945 1423949 1644843 1767068 1777085 1798768 1888223 1940813 2045917 2058640 2401187 2423076 2435246 2437275 2467038 2485568 2524085 2652364 2673170 2739597 2875112 2952577 2962840 3174287 3201289 3211383 3287466 3297511 3300211 3337951 3349949 3522651 3622609 3628959 3704305 3706639 3709578 3767560 3883892 3899824 3947419 4046401 4078270 4093371 4095038 4330411 4506942 4580684 4694897 4760856 4814774 4867319 4958524 5069009 5171960 5245980 5283680 5284525 5296502 5316078 5331530 5334883 5380936 5413387 5443810 5607092 5772190 5948019 6085097 6299387 6305546 6404061 6487361 6508078 6553453 6728006 6739341 6752972 6828668 6839673 6893659 6955732 7381127 7396013 7404674 7410669 7482123 7575887 7629488 7647654 7652413 7672934 7754058 8004669 8124663 8199817 8200919 8302727 8412229 8463795 8472054 8594829 8799547 8871175 8880716 8928595 9014312 9040224 9101682 9197432 9320575 9371566 9560624 9647809 9689675 9800655 9899924 9932716 9950291 9986540 9993765 
160, 88049 175145 258813 374038 396317 578054 855470 876884 883409 884014 920916 936003 1010600 1059879 1087687 1128742 1150750 1325369 1420136 1421945 1423949 1451624 1644843 1767068 1777085 1798768 1865076 1888223 1940813 2045917 2058640 2245902 2401187 2411308 2423076 2435246 2437275 2467038 2485568 2524085 2548208 2652364 2673170 2739597 2875112 2952577 2962840 3174287 3201289 3211383 3287466 3297511 3300211 3337951 3349949 3522651 3622609 3628959 3704305 3706639 3709578 3767560 3883892 3899824 3947419 4046401 4078270 4093371 4095038 4203906 4330411 4506942 4580684 4694897 4760856 4814774 4826586 4867319 4958524 5001991 5069009 5171960 5245980 5283680 5284525 5296502 5316078 5331530 5334883 5380936 5413387 5443810 5471304 5607092 5772190 5825930 5948019 5995419 6085097 6299387 6305546 6404061 6487361 6508078 6553453 6689239 6728006 6739341 6752972 6828668 6839673 6874113 6893659 6955732 7181877 7381127 7396013 7404674 7410669 7482123 7531494 7575887 7629488 7647654 7652413 7663873 7672934 7754058 8004669 8124663 8199817 8200919 8302727 8412229 8463795 8472054 8512740 8594829 8799547 8871175 8880716 8927830 8928595 9014312 9040224 9101682 9197432 9320575 9371566 9393518 9560624 9647809 9689675 9800655 9855150 9899924 9932716 9950291 9986540 9993765 
180, 88049 175145 258813 359922 374038 396317 578054 855470 876884 883409 884014 920916 936003 1010600 1059879 1087687 1128742 1150750 1325369 1420136 1421945 1423949 1451624 1644843 1767068 1777085 1798768 1865076 1888223 1940813 2045917 2058640 2245902 2401187 2411308 2423076 2435246 2437275 2467038 2485568 2524085 2548208 2652364 2673170 2739597 2875112 2952577 2962840 3174287 3201289 3211383 3287466 3297511 3300211 3337951 3349949 3522651 3613630 3622609 3628959 3704305 3706639 3709578 3767560 3883892 3899824 3947419 4046401 4078270 4093371 4095038 4203906 4330411 4455515 4476813 4506942 4580684 4679850 4684104 4694897 4760856 4814774 4826586 4867319 4958524 5001991 5069009 5171960 5245980 5283680 5284525 5296502 5316078 5322421 5331530 5334883 5380936 5413387 5425005 5443810 5471304 5532302 5607092 5743753 5772190 5825930 5948019 5995419 6074361 6085097 6094131 6286751 6299387 6305546 6404061 6487361 6508078 6553453 6617805 6654192 6689239 6728006 6739341 6752972 6828668 6839673 6874113 6893659 6955732 7181877 7381127 7396013 7404674 7410669 7482123 7519402 7531494 7575887 7629488 7647654 7652413 7663873 7672934 7701893 7754058 7941560 8004669 8124663 8199817 8200919 8220624 8302727 8412229 8463795 8472054 8512740 8594829 8799547 8871175 8880716 8927830 8928595 8936393 9014312 9040224 9101682 9197432 9320575 9371566 9393518 9560624 9647809 9689675 9800655 9855150 9899924 9932716 9950291 9986540 9993765 
200, 19535 88049 175145 258813 359922 374038 396317 578054 768810 855470 876884 883409 884014 920916 936003 939683 1010600 1059879 1087687 1128742 1150750 1172788 1325369 1420136 1421945 1423949 1451624 1644843 1758837 1767068 1777085 1798768 1865076 1888223 1940813 2045917 2058640 2245902 2401187 2411308 2423076 2435246 2437275 2467038 2485568 2524085 2548208 2652364 2673170 2739597 2845503 2875112 2952577 2962840 3174287 3201289 3211383 3287466 3297511 3300211 3337951 3349949 3522651 3613630 3622609 3628959 3657284 3667636 3704305 3706639 3709578 3767560 3883892 3899824 3947419 4046401 4078270 4093371 4095038 4203906 4224509 4229388 4330411 4365566 4455515 4476813 4506942 4580684 4679850 4684104 4694897 4760856 4814774 4826586 4867319 4958524 5001991 5069009 5171960 5245980 5283680 5284525 5296502 5316078 5322421 5331530 5334883 5380936 5413387 5425005 5443810 5471304 5532302 5562732 5579119 5607092 5743753 5772190 5825930 5948019 5995419 6012152 6074361 6085097 6094131 6286751 6299387 6305546 6404061 6487361 6508078 6553453 6617805 6654192 6689239 6728006 6739341 6752972 6828668 6839673 6874113 6893659 6955732 7127235 7181877 7254426 7328915 7381127 7396013 7404674 7410669 7482123 7519402 7531494 7575887 7629488 7647654 7652413 7663873 7669501 7672934 7692807 7701893 7754058 7941560 8004669 8124663 8199817 8200919 8219318 8220624 8302727 8412229 8463795 8472054 8512740 8594829 8799547 8871175 8880716 8927830 8928595 8936393 9014312 9040224 9101682 9197432 9320575 9371566 9393518 9560624 9647809 9689675 9800655 9855150 9899924 9932716 9950291 9986540 9993765 
220, 19535 88049 175145 219856 258813 359922 374038 396317 578054 768810 855470 876884 883409 884014 920916 936003 939683 1010600 1059879 1087687 1101810 1128742 1150750 1172788 1325369 1420136 1421945 1423949 1451624 1644843 1758837 1767068 1777085 1798768 1865076 1888223 1940813 2045917 2058640 2245902 2401187 2411308 2423076 2435246 2437275 2467038 2485568 2524085 2548208 2641777 2652364 2673170 2739597 2845503 2854116 2866449 2875112 2952577 2962840 3090988 3103840 3174287 3201289 3211383 3287466 3297511 3300211 3337951 3349949 3522651 3613630 3622609 3628959 3657284 3667636 3704305 3706639 3709578 3767560 3818787 3883892 3899824 3947419 4046401 4078270 4093371 4095038 4203906 4224509 4229388 4330411 4365566 4455515 4476813 4506942 4580684 4679850 4684104 4694897 4760856 4814774 4826586 4867319 4904956 4958524 5001991 5069009 5171960 5208387 5245980 5283680 5284525 5296502 5316078 5322421 5331530 5334883 5380936 5413387 5425005 5443810 5471304 5532302 5541101 5562732 5579119 5607092 5662132 5743753 5772190 5825930 5948019 5995419 6012152 6074361 6085097 6094131 6136119 6286751 6299387 6305546 6390953 6404061 6487361 6508078 6553453 6617805 6654192 6689239 6728006 6739341 6752972 6804282 6828668 6839673 6874113 6893659 6955732 7127235 7181877 7254426 7328915 7377278 7381127 7396013 7404674 7410669 7482123 7519402 7531494 7575887 7629488 7647654 7652413 7663873 7669501 7672934 7692807 7701893 7754058 7941560 8004669 8124663 8143669 8199817 8200919 8219318 8220529 8220624 8302727 8412229 8463795 8472054 8512740 8594829 8799547 8808911 8871175 8880716 8927830 8928595 8936393 9014312 9040224 9101682 9197432 9320575 9371566 9377133 9393518 9560624 9647809 9689675 9800655 9855150 9899924 9932716 9950291 9986540 9993765 
240, 19535 88049 175145 219856 258813 278751 359922 374038 384075 396317 578054 768810 822496 855470 876884 883409 884014 900771 920916 936003 939683 1010600 1059879 1087687 1101810 1128742 1150750 1172788 1325369 1420136 1421945 1423949 1451624 1644843 1758837 1767068 1777085 1798768 1865076 1888223 1923820 1940813 1941370 2045917 2058640 2245902 2401187 2411308 2423076 2435246 2437275 2454679 2467038 2485568 2524085 2548208 2641777 2652364 2673170 2739597 2845503 2854116 2866449 2875112 2952577 2962840 3090988 3103840 3174287 3201289 3211383 3287466 3297511 3300211 3337951 3349949 3437241 3522651 3613630 3622609 3628959 3657284 3667636 3704305 3706639 3709578 3767560 3818787 3883892 3899824 3947419 4046401 4078270 4093371 4095038 4133923 4203906 4224509 4229388 4330411 4365566 4455515 4476813 4506942 4580684 4679850 4684104 4694897 4760856 4814774 4826586 4867319 4904956 4944026 4958524 5001991 5069009 5122289 5171960 5208387 5245980 5283680 5284525 5296502 5316078 5322421 5331530 5334883 5380936 5413387 5425005 5443810 5456919 5471304 5532302 5541101 5562732 5579119 5607092 5662132 5725662 5743753 5772190 5825930 5948019 5995419 6012152 6074361 6085097 6094131 6136119 6206849 6286751 6299387 6305546 6390953 6404061 6487361 6508078 6553453 6617805 6654192 6689239 6728006 6739341 6752972 6804282 6828668 6839673 6874113 6893659 6955732 7127235 7181877 7254426 7328915 7345191 7377278 7381127 7396013 7404674 7410669 7482123 7519402 7531494 7575887 7585254 7629488 7647654 7652413 7663873 7669501 7672934 7692807 7701893 7754058 7853047 7941560 8004669 8124663 8143669 8199817 8200919 8219318 8220529 8220624 8302727 8412229 8463795 8472054 8512740 8583832 8594829 8799547 8808911 8871175 8880716 8927830 8928595 8936393 9014312 9040224 9101682 9197432 9320575 9371566 9377133 9393518 9560624 9644483 9647809 9689675 9690700 9800655 9855150 9899924 9932716 9950291 9986540 9993765 
